Thrust [N], tau_x [Nm], tau_y [Nm], tau_z [Nm]
4.027393, 0.000071, -0.000135 ,-0.000015
4.026750, 0.000071, -0.000135 ,-0.000015
4.026103, 0.000071, -0.000134 ,-0.000015
4.025453, 0.000071, -0.000134 ,-0.000015
4.024800, 0.000071, -0.000134 ,-0.000014
4.024143, 0.000070, -0.000133 ,-0.000014
4.023483, 0.000070, -0.000133 ,-0.000014
4.022820, 0.000070, -0.000133 ,-0.000014
4.022154, 0.000070, -0.000133 ,-0.000014
4.021485, 0.000070, -0.000132 ,-0.000014
4.020813, 0.000070, -0.000132 ,-0.000013
4.020137, 0.000070, -0.000132 ,-0.000013
4.019459, 0.000069, -0.000131 ,-0.000013
4.018778, 0.000069, -0.000131 ,-0.000013
4.018094, 0.000069, -0.000131 ,-0.000013
4.017406, 0.000069, -0.000130 ,-0.000013
4.016716, 0.000069, -0.000130 ,-0.000012
4.016024, 0.000069, -0.000130 ,-0.000012
4.015327, 0.000069, -0.000129 ,-0.000012
4.014629, 0.000068, -0.000129 ,-0.000012
4.013928, 0.000068, -0.000129 ,-0.000012
4.013224, 0.000068, -0.000129 ,-0.000012
4.012517, 0.000068, -0.000128 ,-0.000011
4.011808, 0.000068, -0.000128 ,-0.000011
4.011096, 0.000068, -0.000128 ,-0.000011
4.010381, 0.000067, -0.000127 ,-0.000011
4.009664, 0.000067, -0.000127 ,-0.000011
4.008944, 0.000067, -0.000127 ,-0.000010
4.008222, 0.000067, -0.000126 ,-0.000010
4.007497, 0.000067, -0.000126 ,-0.000010
4.006770, 0.000067, -0.000126 ,-0.000010
4.006040, 0.000067, -0.000125 ,-0.000010
4.005309, 0.000066, -0.000125 ,-0.000010
4.004574, 0.000066, -0.000125 ,-0.000009
4.003837, 0.000066, -0.000124 ,-0.000009
4.003098, 0.000066, -0.000124 ,-0.000009
4.002357, 0.000066, -0.000124 ,-0.000009
4.001614, 0.000066, -0.000124 ,-0.000009
4.000868, 0.000066, -0.000123 ,-0.000009
4.000120, 0.000065, -0.000123 ,-0.000008
3.999370, 0.000065, -0.000123 ,-0.000008
3.998618, 0.000065, -0.000122 ,-0.000008
3.997863, 0.000065, -0.000122 ,-0.000008
3.997107, 0.000065, -0.000122 ,-0.000008
3.996349, 0.000065, -0.000121 ,-0.000007
3.995589, 0.000064, -0.000121 ,-0.000007
3.994827, 0.000064, -0.000121 ,-0.000007
3.994063, 0.000064, -0.000120 ,-0.000007
3.993297, 0.000064, -0.000120 ,-0.000007
3.992529, 0.000064, -0.000120 ,-0.000007
3.991760, 0.000064, -0.000119 ,-0.000006
3.990989, 0.000064, -0.000119 ,-0.000006
3.990216, 0.000063, -0.000119 ,-0.000006
3.989441, 0.000063, -0.000118 ,-0.000006
3.988664, 0.000063, -0.000118 ,-0.000006
3.987886, 0.000063, -0.000118 ,-0.000005
3.987106, 0.000063, -0.000117 ,-0.000005
3.986325, 0.000063, -0.000117 ,-0.000005
3.985542, 0.000062, -0.000117 ,-0.000005
3.984757, 0.000062, -0.000117 ,-0.000005
3.983971, 0.000062, -0.000116 ,-0.000005
3.983184, 0.000062, -0.000116 ,-0.000004
3.982395, 0.000062, -0.000116 ,-0.000004
3.981605, 0.000062, -0.000115 ,-0.000004
3.980813, 0.000061, -0.000115 ,-0.000004
3.980020, 0.000061, -0.000115 ,-0.000004
3.979225, 0.000061, -0.000114 ,-0.000003
3.978430, 0.000061, -0.000114 ,-0.000003
3.977633, 0.000061, -0.000114 ,-0.000003
3.976835, 0.000061, -0.000113 ,-0.000003
3.976036, 0.000060, -0.000113 ,-0.000003
3.975235, 0.000060, -0.000113 ,-0.000002
3.974433, 0.000060, -0.000112 ,-0.000002
3.973631, 0.000060, -0.000112 ,-0.000002
3.972827, 0.000060, -0.000112 ,-0.000002
3.972023, 0.000060, -0.000111 ,-0.000002
3.971217, 0.000059, -0.000111 ,-0.000002
3.970410, 0.000059, -0.000111 ,-0.000001
3.969603, 0.000059, -0.000110 ,-0.000001
3.968794, 0.000059, -0.000110 ,-0.000001
3.967985, 0.000059, -0.000110 ,-0.000001
3.967174, 0.000059, -0.000109 ,-0.000001
3.966364, 0.000058, -0.000109 ,-0.000000
3.965552, 0.000058, -0.000109 ,-0.000000
3.964739, 0.000058, -0.000108 ,-0.000000
3.963926, 0.000058, -0.000108 ,0.000000
3.963112, 0.000058, -0.000108 ,0.000000
3.962297, 0.000058, -0.000107 ,0.000000
3.961482, 0.000057, -0.000107 ,0.000001
3.960666, 0.000057, -0.000107 ,0.000001
3.959850, 0.000057, -0.000106 ,0.000001
3.959033, 0.000057, -0.000106 ,0.000001
3.958216, 0.000057, -0.000105 ,0.000001
3.957398, 0.000057, -0.000105 ,0.000002
3.956580, 0.000056, -0.000105 ,0.000002
3.955761, 0.000056, -0.000104 ,0.000002
3.954942, 0.000056, -0.000104 ,0.000002
3.954123, 0.000056, -0.000104 ,0.000002
3.953303, 0.000056, -0.000103 ,0.000003
3.952483, 0.000056, -0.000103 ,0.000003
3.951663, 0.000055, -0.000103 ,0.000003
3.950842, 0.000055, -0.000102 ,0.000003
3.950022, 0.000055, -0.000102 ,0.000003
3.949201, 0.000055, -0.000102 ,0.000003
3.948380, 0.000055, -0.000101 ,0.000004
3.947559, 0.000054, -0.000101 ,0.000004
3.946738, 0.000054, -0.000101 ,0.000004
3.945917, 0.000054, -0.000100 ,0.000004
3.945096, 0.000054, -0.000100 ,0.000004
3.944275, 0.000054, -0.000099 ,0.000005
3.943454, 0.000054, -0.000099 ,0.000005
3.942633, 0.000053, -0.000099 ,0.000005
3.941812, 0.000053, -0.000098 ,0.000005
